uuid,Keywords,label
0,Flow cytometry; HDACi; Leukemia; ROS.,1
1,Printer classification; local texture patterns; local binary pattern; forgery detection; printer dataset,0
2,Plasma reduction; Bimatalic alloy CoxSn1-x; Reduced graphene oxide; Nanohybrids; Counter electrode; Dye-sensitized solar cells,0
3,HIV; antiretroviral therapy; rapid; health equity,0
4,Varactor; Spiral inductor; Quadrature generation; VCO; RF; CMOS,0
5,Convolutional neural networks (CNNs); design space exploration (DSE); embedded systems,0
6,ESKAPE; ESKAPE pathogens; GO terms; KEGG; Prokaryotes; Shiny; Shiny web application; bacteria; gene ontology; pathogens; pathway activation analysis; prokaryotes; web application.,1
7,covalent organic framework; drug delivery; three-dimensional; topology; two-fold interpenetrated.,1
8,Convolutional neural network; DWI streamline; eloquent function; epilepsy surgery,1
9,Batteries; Energy management; Costs; Energy exchange; State of charge; Buildings; Tariffs; Battery storage; energy management system; energy tariffs; forecast; mixed-integer linear programming; PV,0
10,bilateral salpingo-oophorectomy; caesarean section; gnrh analogue; hematometra; scar adhesion; total abdominal hysterectomy; usg guided hematometra drainage.,1
11,Photometric stereo; angular error; numerical reflectance compensation; non-Lambertian,0
12,Acyl-homoserine lactone; Cooperation; LasR; PqsR; Quinolone; Quorum inhibition; RhlR; Sociomicrobiology.,1
13,Antiforensic attack; deep neural network (DNN); digital image forensics; median filter forensics; residual dense network (RDN),0
14,Deep learning; Pedestrian detection; Convolutional Neural Networks; Optimization,0
15,Future orientation; Job market knowledge; Perceived employability; Proactive personality; Problem-based learning.,1
16,Image segmentation; Testing; Training; Manuals; Magnetic resonance imaging; Pediatrics; Brain; Infant brain segmentation; isointense phase; low tissue contrast; multi-site issue; domain adaptation; deep learning,1
17,Mackenzie Inuit; Inuvialuit; Inuit art; Inuit history; Hudson's Bay Company; Smithsonian Institution; Roderick MacFarlane; Emile Petitot; Fort Anderson; fur trade,0
18,Undergraduate education; HT Odum; Engineering licensure; Accreditation; Graduate education; Licensure testing; Multi-disciplinary education,0
19,algebraic reconstruction technique (ART); C-arm; cone-beam; image-guided surgery; maximum-intensity projection; perspective; projection matrix (P-matrix); ray-driven; reprojection; voxel driven,1
20,Breast CT; deep learning; few-view CT; low-dose CT; X-ray CT,1
21,acupuncture; fNIRS; hyperscanning; inter-brain neural synchronization.,1
22,Skeleton; Feature extraction; Image edge detection; Semantics; Task analysis; Network architecture; Benchmark testing; Salient skeleton detection; deep learning; multi-scale features,0
23,Nanotubes; nano-vacuum tubes; terahertz frequency,0
24,Cost aggregation; domain transformation; local stereo matching,0
25,classification; house architecture type classification; house type classification; convolutional neural networks,0
26,LiNi0.6Co0.2Mn0.2O2 (NCM622) cathode; electrochemistry; hydrometallurgy recycling; lithium-ion batteries; phosphate impurity.,1
27,Gold nanoparticles; heart; kidney; liver; lungs; nanotoxicity.,1
28,New energy technology; Environmental design; Sensor network; Photovoltaic power generation,0
29,Medical services; Aging; Older adults; Statistics; Sociology; Diseases; Next generation networking; Telemedicine; 5G; 6G; medical IoT; remote care; big data; AI; ML; medical informatics,0
30,neural network; convolution; wave-based computing; spin waves,0
31,Challenge-response pair (CRP); physical unclonable function (PUF); randomness; ring oscillator-based PUF (RO-PUF); strong PUF,0
32,Bone preservation; Reverse total shoulder arthroplasty; Revision surgery; Short stems; Shoulder resurfacing; Stemless shoulder replacement; Total shoulder arthroplasty.,1
33,image recognition; multi-modal learning; name entity recognition; near-drug space.,1
34,Critical congenital heart disease; Newborn; Prostaglandin E1.,1
35,Breeds; Growth; Heritability; Heterosis.,1
36,Antimicrobial; Antioxidant; B3LYP method; DFT; Schiff bases; Thermodynamic parameters.,1
37,appendicitis; covid-19 retro; covid-19 vaccine side effects; menstrual disorder; mis-c; myocarditis; pediatric; prevention; seizures; stroke.,1
38,Adaptive random testing; ART overhead challenge; software testing; mirror adaptive random testing,0
39,activation mechanism; autophosphorylation; maize CDKs; substrate recognition.,1
40,Coronavirus disease 2019; acute exacerbation; idiopathic pulmonary fibrosis; vaccination.,1
41,Laos; Orientia tsutsugamushi; chiggers; scrub typhus.,1
42,Document page segmentation; OCR; performance evaluation; border noise removal; document cleanup,0
43,group activity recognition; part-based; graph reasoning; video analysis,0
44,Afrotheria; Amygdala; Behaviour; Cognition; Emotion; Mammalia.,1
45,Target tracking; Adaptation models; Feature extraction; Correlation; Strain; Computational modeling; Deformable models; Visual tracking; model update; correlation filter tracker; image processing,0
46,Unsupervised person re-identification; Feature fusion; Memory dictionary; Orthogonality regularization,0
47,Coal slime; combustion; fuel efficiency; multiple-criteria decision-making; municipal solid waste; slurry.,0
48,Saliency detection; edge detection; pyramid pooling network; convolutional neural networks (CNNs),0
49,operational topics; medical radiation; nuclear medicine; cancer,1
50,DNMT1; Depression; Pain; lncRNA XR_351665; miR-152-3p.,1
51,Multi-criteria; Literature review; MCDA; MCDM,0
52,Echinococcus multilocularis; Molecular phylogeny; Parasite adaptation strategies; Taxonomy.,1
53,Viet Nam; breastfeeding; breastfeeding promotion; early initiation of breastfeeding; fathers; prelacteal feeding.,1
54,atopic dermatitis; field dodder; traditional medicine; whey.,1
55,ELISA; Kenya; SARS-CoV-2; nucleocapsid; serology; spike.,1
